部首編號,筆畫數,漢字,總筆劃,說文解字
4,3,之,4,出也。象艸過屮，枝莖益大，有所之。一者，地也。凡之之屬皆从之。 〔止而切〕 (127 / 123)
4,4,乍,5,止也。一曰：亡也。从亡从一。 【徐鍇曰：出亡得一則止，暫止也。】 〔鉏駕切〕 (267 / 268)
4,4,乎,5,語之餘也。从兮，象聲上越揚之形也。 〔戶吳切〕 (101 / 96)
4,4,乏,5,《春秋傳》曰：反正爲乏。 〔房法切〕 (39 / 33)
4,5,𠂤,6,小𨸏也。象形。凡𠂤之屬皆从𠂤。 【臣鉉等曰：今俗作堆。】 〔都回切〕 (303 / 305)
4,5,乒,6,
4,5,乓,6,
4,7,乖,8,戾也。从𦫳而(兆)[𠔁]。(兆)[𠔁]，古文別。 【臣鉉等曰：(兆)[𠔁]，兵列切，篆文分別字也。】 〔古懷切〕 (77 / 72)
4,9,乘,10,覆也。从入、桀。桀，黠也。《軍法》曰：乘。𠅞，古文乘从几。 〔食陵切〕 (114 / 109)
5,0,乙,1,象春艸木冤曲而出，陰气尚彊，其出乙乙也。與丨同意。乙承甲，象人頸。凡乙之屬皆从乙。 〔於筆切〕 (308 / 310)
5,0,乚,1,
5,1,乜,2,
5,1,九,2,陽之變也，象其屈曲究盡之形。凡九之屬皆从九。 〔舉有切〕 (308 / 309)
5,2,乞,3,
5,2,也,3,女陰也。象形。𠃟，秦刻石也字。 〔羊者切〕 (265 / 266)
5,5,乩,6,
5,5,氹,5,
5,6,乱,7,
5,7,乳,8,人及鳥生子曰乳，獸曰產。从孚从𠃉。𠃉者，玄鳥也。《明堂月令》：玄鳥至之日，祠于高禖以請子。故乳从𠃉。請子必以𠃉至之日者，𠃉春分來，秋分去，開生之候鳥，帝少昊司分之官也。 〔而主切〕 (247 / 247)
5,10,乾,11,上出也。从乙，乙，物之達也。倝聲。𠄊，籀文乾。 〔渠焉切，又古寒切〕 (308 / 310)
5,10,乿,11,
5,12,亂,13,治也。从乙，乙，治之也。从𤔔。 〔郎段切〕 (308 / 310)
5,12,亃,13,
5,12,亄,13,
6,1,了,2,尥也。从子無臂，象形。凡了之屬皆从了。 〔盧鳥切〕 (310 / 311)
6,3,予,4,推予也。象相予之形。凡予之屬皆从予。 〔余呂切〕 (84 / 78)
6,7,事,8,職也。从史，之省聲。𠭆，古文事。 〔鉏史切〕 (65 / 59)
7,0,二,2,地之數也。从偶一。凡二之屬皆从二。弍，古文。 〔而至切〕 (285 / 287)
7,1,亍,3,步止也。从反彳。讀若畜。 〔丑玉切〕 (43 / 37)
7,1,于,3,於也。象气之舒亏。从丂从一。一者，其气平之也。凡亏之屬皆从亏。 〔羽俱切〕 【今變隸作于。】 (101 / 96)
7,2,云,4,山川气也。从雨、云，象雲回轉形。凡雲之屬皆从雲。云，古文省雨。云，亦古文雲。 〔王分切〕 (242 / 242)
7,2,互,4,可以收繩也。从竹，象形。中象人手所推握也。互，䇘或省。 〔胡誤切〕 (97 / 92)
7,2,亓,4,
7,2,五,4,五行也。从二，陰陽在天地閒交午也。凡五之屬皆从五。㐅，古文五省。 【臣鉉等曰：二，天地也。】 〔疑古切〕 (307 / 309)
7,2,井,4,八家一井，象構韓形。•，𦉥之象也。古者伯益初作井。凡井之屬皆从井。 〔子郢切〕 (106 / 101)
7,4,亙,6,竟也。从木，恆聲。亙，古文㮓。 〔古鄧切〕 (125 / 121)
7,5,些,7,語辭也。見《楚辭》。从此从二，其義未詳。 〔蘇箇切〕 (38 / 32)
7,6,亞,8,醜也。象人局背之形。賈侍中說以爲：次弟也。凡亞之屬皆从亞。 〔衣駕切〕 (307 / 309)
7,6,亟,8,敏疾也。从人从口从又从二。二，天地也。 【徐鍇曰：承天之時，因地之利，口謀之，手執之，時不可失，疾也。】 〔紀力切，又去吏切〕 (286 / 287)
8,1,亡,3,逃也。从入从𠃊。凡亡之屬皆从亡。 〔武方切〕 (267 / 268)
8,2,亢,4,人頸也。从大省，象頸脈形。凡亢之屬皆从亢。頏，亢或从頁。 〔古郎切〕 (215 / 214)
8,4,交,6,交脛也。从大，象交形。凡交之屬皆从交。 〔古爻切〕 (214 / 213)
8,4,亥,6,荄也。十月微陽，起接盛陰。从𠄞，𠄞，古文上字。一人男，一人女也。从乙，象褢子咳咳之形。《春秋傳》曰：亥有二首六身。凡亥之屬皆从亥。𢁓，古文亥爲豕，與豕同。亥而生子，復從一起。 〔胡改切〕 (314 / 315)
8,4,亦,6,人之臂亦也。从大，象兩亦之形。凡亦之屬皆从亦。 【臣鉉等曰：今別作腋，非是。】 〔羊益切〕 (213 / 213)
8,5,亨,7,
8,6,享,8,獻也。从高省，曰象進孰物形。《孝經》曰：祭則鬼亯之。凡亯之屬皆从亯。享，篆文亯。 〔許兩切，又普庚切，又許庚切〕 (111 / 106)
8,6,京,8,人所爲絕高丘也。从高省，丨象高形。凡京之屬皆从京。 〔舉卿切〕 (111 / 106)
8,7,亭,9,民所安定也。亭有樓。从高省，丁聲。 〔特丁切〕 (110 / 105)
8,7,亮,9,
8,7,亯,9,獻也。从高省，曰象進孰物形。《孝經》曰：祭則鬼亯之。凡亯之屬皆从亯。享，篆文亯。 〔許兩切，又普庚切，又許庚切〕 (111 / 106)
8,8,亳,10,京兆杜陵亭也。从高省，乇聲。 〔旁各切〕 (110 / 105)
8,11,亶,13,多穀也。从㐭，旦聲。 〔多旱切〕 (111 / 106)
8,19,亹,21,
9,0,人,2,天地之性最貴者也。此籀文，象臂脛之形。凡人之屬皆从人。 〔如鄰切〕 (161 / 159)
9,1,亼,3,三合也。从入、一，象三合之形。凡亼之屬皆从亼。讀若集。 〔秦入切〕 【臣鉉等曰：此疑只象形，非从入、一也。】 (108 / 103)
9,2,什,4,相什保也。从人、十。 〔是執切〕 (164 / 162)
9,2,仁,4,親也。从人从二。忎，古文仁从千、心。𡰥，古文仁或从尸。 【臣鉉等曰：仁者兼愛，故从二。】 〔如鄰切〕 (161 / 159)
9,2,仂,4,
9,2,仃,4,
9,2,仄,4,側傾也。从人在厂下。𠨮，籀文从夨，夨亦聲。 〔阻力切〕 (194 / 192)
9,2,仅,4,
9,2,仆,4,頓也。从人，卜聲。 〔芳遇切〕 (167 / 164)
9,2,仇,4,讎也。从人，九聲。 〔巨鳩切〕 (167 / 164)
9,2,仈,4,
9,2,仉,4,
9,2,今,4,是時也。从亼从乁，乁，古文及。 〔居音切〕 (108 / 103)
9,2,介,4,畫也。从八从人，人各有介。 〔古拜切〕 (28 / 22)
9,2,仍,4,因也。从人，乃聲。 〔如乘切〕 (164 / 161)
9,2,从,4,相聽也。从二人。凡从之屬皆从从。 〔疾容切〕 (169 / 166)
9,3,㐱,5,稠髮也。从彡从人。《詩》曰：㐱髮如雲。鬒，㐱或从髟，眞聲。 〔之忍切〕 (185 / 182)
9,3,仔,5,克也。从人，子聲。 〔子之切〕 (165 / 163)
9,3,仕,5,學也。从人从士。 〔鉏里切〕 (161 / 159)
9,3,他,5,
9,3,仗,5,
9,3,付,5,與也。从寸，持物對人。 【臣鉉等曰：寸，手也。】 〔方遇切〕 (164 / 162)
9,3,仙,5,長生僊去。从人从䙴，䙴亦聲。 〔相然切〕 (167 / 165)
9,3,仚,5,人在山上。从人从山。 〔呼堅切〕 (167 / 165)
9,3,仜,5,大腹也。从人，工聲。讀若紅。 〔戶工切〕 (163 / 160)
9,3,仝,5,完也。从入从工。全，篆文仝从玉，純玉曰全。𠌆，古文仝。 〔疾緣切〕 (109 / 104)
9,3,仞,5,伸臂一尋八尺。从人，刃聲。 〔而震切〕 (161 / 159)
9,3,仟,5,
9,3,仡,5,勇壯也。从人，气聲。《周書》曰：㐹㐹勇夫。 〔魚訖切〕 (163 / 160)
9,3,代,5,更也。从人，弋聲。 【臣鉉等曰：弋非聲。《說文》忒字與此義訓同，疑兼有忒音。】 〔徒耐切〕 (165 / 162)
9,3,令,5,發號也。从亼、卩。 【徐鍇曰：號令者，集而爲之卩，制也。】 〔力正切〕 (187 / 184)
9,3,以,5,用也。从反巳。賈侍中說：巳，意巳實也，象形。 〔羊止切〕 (311 / 312)
9,3,仨,5,
9,3,仩,5,
9,4,仰,6,舉也。从人从卬。 〔魚兩切〕 (164 / 162)
9,4,仱,6,
9,4,仲,6,中也。从人从中，中亦聲。 〔直眾切〕 (162 / 159)
9,4,仳,6,別也。从人，比聲。《詩》曰：有女仳離。 〔芳比切〕 (167 / 165)
9,4,仴,6,
9,4,仵,6,
9,4,件,6,分也。从人从牛。牛大物，故可分。 〔其輦切〕 (168 / 165)
9,4,价,6,善也。从人，介聲。《詩》曰：价人惟藩。 〔古拜切〕 (165 / 163)
9,4,任,6,符也。从人，壬聲。 〔如林切〕 (165 / 162)
9,4,份,6,文質(僭)[備]也。从人，分聲。《論語》曰：文質份份。彬，古文份从彡、林。林者，从焚省聲。 〔府巾切〕 【臣鉉等曰：今俗作斌，非是。】 (162 / 160)
9,4,仿,6,相似也。从人，方聲。㑂，籀文仿从丙。 〔妃罔切〕 (163 / 161)
9,4,伀,6,志及眾也。从人，公聲。 〔職茸切〕 (162 / 159)
9,4,企,6,舉踵也。从人，止聲。𠈮，古文企从足。 〔去智切〕 (161 / 159)
9,4,伂,6,
9,4,伄,6,
9,4,伅,6,
9,4,伈,6,
9,4,伉,6,人名。从人，亢聲。《論語》有陳伉。 〔苦浪切〕 (162 / 159)
9,4,伊,6,殷聖人阿衡，尹治天下者。从人从尹。𠈽，古文伊从古文死。 〔於脂切〕 (162 / 159)
9,4,伋,6,人名。从人，及聲。 〔居立切〕 (162 / 159)
9,4,伍,6,相參伍也。从人从五。 〔疑古切〕 (164 / 162)
9,4,伎,6,與也。从人，支聲。《詩》曰：𥷚人伎忒。 〔渠綺切〕 (166 / 163)
9,4,伏,6,司也。从人从犬。 【臣鉉等曰：司，今人作伺。】 〔房六切〕 (167 / 164)
9,4,伐,6,擊也。从人持戈。一曰：敗也。 〔房越切〕 (167 / 164)
9,4,休,6,息止也。从人依木。庥，休或从广。 〔許尤切〕 (125 / 121)
9,4,伒,6,
9,4,伓,6,
9,4,伔,6,
9,4,伕,6,
9,4,优,6,
9,4,伙,6,
9,4,伝,6,
9,4,伢,6,
9,4,伬,6,
9,5,伭,7,很也。从人，弦省聲。 〔胡田切〕 (166 / 163)
9,5,伯,7,長也。从人，白聲。 〔博陌切〕 (162 / 159)
9,5,估,7,
9,5,伳,7,
9,5,伴,7,大皃。从人，半聲。 〔薄滿切〕 (163 / 160)
9,5,伶,7,弄也。从人，令聲。益州有建伶縣。 〔郎丁切〕 (165 / 163)
9,5,伸,7,屈伸。从人，申聲。 〔失人切〕 (165 / 163)
9,5,伺,7,候望也。从人，司聲。 〔相吏切〕 【自低已下六字从人，皆後人所加。】 (168 / 165)
9,5,伻,7,
9,5,似,7,象也。从人，㠯聲。 〔詳里切〕 (165 / 162)
9,5,伽,7,
9,5,伾,7,有力也。从人，丕聲。《詩》曰：以車伾伾。 〔𢾭悲切〕 (163 / 160)
9,5,伿,7,隋也。从人，只聲。 〔以豉切〕 (166 / 164)
9,5,佁,7,癡皃。从人，台聲。讀若騃。 〔夷在切〕 (166 / 164)
9,5,佃,7,中也。从人，田聲。《春秋傳》曰：乘中佃，一轅車。 〔堂練切〕 (166 / 163)
9,5,但,7,裼也。从人，旦聲。 〔徒旱切〕 (167 / 164)
9,5,佇,7,久立也。从人从宁。 〔直呂切〕 (168 / 166)
9,5,佈,7,
9,5,佉,7,
9,5,佌,7,
9,5,位,7,列中庭之左右謂之位。从人、立。 〔于備切〕 (163 / 161)
9,5,低,7,下也。从人、氐，氐亦聲。 〔都兮切〕 (168 / 165)
9,5,住,7,
9,5,佐,7,
9,5,佑,7,
9,5,佒,7,
9,5,体,7,
9,5,佔,7,
9,5,何,7,儋也。从人，可聲。 【臣鉉等曰：儋何即負何也。借爲誰何之何，今俗別作擔荷，非是。】 〔胡歌切〕 (163 / 161)
9,5,佖,7,威儀也。从人，必聲。《詩》曰：威儀佖佖。 〔毗必切〕 (162 / 160)
9,5,佗,7,負何也。从人，它聲。 【臣鉉等案：《史記》匈奴奇畜有橐佗，今俗譌誤，謂之駱駞，非是。】 〔徒何切〕 (163 / 161)
9,5,佘,7,
9,5,余,7,語之舒也。从八，舍省聲。𠎳，二余也。讀與余同。 〔以諸切〕 (28 / 22)
9,5,佚,7,佚民也。从人，失聲。一曰：佚，忽也。 〔夷質切〕 (166 / 164)
9,5,佛,7,見不審也。从人，弗聲。 〔𢾭勿切〕 (163 / 161)
9,5,作,7,起也。从人从乍。 〔則洛切〕 (165 / 162)
9,5,佝,7,務也。从人，句聲。 〔苦候切〕 (166 / 164)
9,5,佞,7,巧讇高材也。从女，信省。 【臣鉉等曰：女子之信，近於佞也。】 〔乃定切〕 (263 / 263)
9,5,佟,7,
9,5,你,7,
9,5,佡,7,
9,5,佢,7,
9,5,佣,7,
9,5,佤,6,
9,5,佧,7,
9,6,佩,8,大帶佩也。从人从凡从巾。佩必有巾，巾謂之飾。 【臣鉉等曰：今俗別作珮，非是。】 〔蒲妹切〕 (161 / 159)
9,6,佪,8,
9,6,佫,8,
9,6,佬,8,
9,6,佮,8,合也。从人，合聲。 〔古沓切〕 (164 / 162)
9,6,佯,8,
9,6,佰,8,相什伯也。从人、百。 〔博陌切〕 (164 / 162)
9,6,佳,8,善也。从人，圭聲。 〔古膎切〕 (162 / 160)
9,6,佴,8,佽也。从人，耳聲。 〔仍吏切〕 (164 / 161)
9,6,併,8,並也。从人，并聲。 〔卑正切〕 (164 / 161)
9,6,佶,8,正也。从人，吉聲。《詩》曰：既佶且閑。 〔巨乙切〕 (162 / 160)
9,6,佷,8,
9,6,佸,8,會也。从人，𠯑聲。《詩》曰：曷其有𠈲。一曰：𠈲𠈲，力皃。 〔古活切〕 (164 / 162)
9,6,佹,8,
9,6,佺,8,偓佺，仙人也。从人，全聲。 〔此緣切〕 (163 / 161)
9,6,佻,8,愉也。从人，兆聲。《詩》曰：視民不佻。 〔(士)[土]彫切〕 (166 / 163)
9,6,佼,8,交也。从人从交。 〔下巧切〕 (161 / 159)
9,6,佽,8,便利也。从人，次聲。《詩》曰：決拾既佽。一曰：遞也。 〔七四切〕 (164 / 161)
9,6,佾,8,舞行列也。从人，䏌聲。 〔夷質切〕 (168 / 165)
9,6,使,8,伶也。从人，吏聲。 〔疏士切〕 (165 / 163)
9,6,侀,8,
9,6,侁,8,行皃。从人，先聲。 〔所臻切〕 (164 / 162)
9,6,侂,8,寄也。从人，㡯聲。㡯，古文宅。 〔他各切〕 (167 / 165)
9,6,侃,8,剛直也。从㐰，㐰，古文信。从川，取其不舍晝夜。《論語》曰：子貢侃侃如也。 〔空旱切〕 (239 / 239)
9,6,侄,8,
9,6,侅,8,奇侅，非常也。从人，亥聲。 〔古哀切〕 (162 / 160)
9,6,來,8,周所受瑞麥來麰，一來二縫，象芒朿之形，天所來也，故爲行來之來。《詩》曰：詒我來麰。凡來之屬皆从來。 〔洛哀切〕 (111 / 106)
9,6,侇,8,
9,6,侈,8,掩脅也。从人，多聲。一曰：奢也。 〔尺氏切〕 (166 / 163)
9,6,侉,8,𢞎詞。从人，夸聲。 〔苦瓜切〕 (167 / 164)
9,6,例,8,比也。从人，列聲。 〔力制切〕 (167 / 164)
9,6,侍,8,承也。从人，寺聲。 〔時吏切〕 (164 / 161)
9,6,侏,8,
9,6,侐,8,靜也。从人，血聲。《詩》曰：閟宮有侐。 〔況逼切〕 (164 / 162)
9,6,侑,8,耦也。从女，有聲。讀若祐。侑，姷或从人。 〔于救切〕 (262 / 263)
9,6,侒,8,宴也。从人，安聲。 〔烏寒切〕 (164 / 162)
9,6,侔,8,齊等也。从人，牟聲。 〔莫浮切〕 (164 / 161)
9,6,侕,8,
9,6,侖,8,思也。从亼从冊。𠎚，籀文侖。 〔力屯切〕 (108 / 103)
9,6,侗,8,大皃。从人，同聲。《詩》曰：神罔時侗。 〔他紅切〕 (162 / 160)
9,6,侘,8,
9,6,侚,8,疾也。从人，旬聲。 〔辤閏切〕 (162 / 159)
9,6,供,8,設也。从人，共聲。一曰：供給。 〔俱容切〕 (163 / 161)
9,6,侜,8,有廱蔽也。从人，舟聲。《詩》曰：誰侜予美。 〔張流切〕 (166 / 163)
9,6,依,8,倚也。从人，衣聲。 〔於稀切〕 (164 / 161)
9,6,侞,8,
9,7,侮,9,傷也。从人，每聲。㑄，古文从母。 〔文甫切〕 (166 / 164)
9,7,侯,9,春饗所射侯也。从人从厂，象張布，矢在其下。天子射熊虎豹，服猛也；諸侯射熊豕虎；大夫射麋，麋，惑也；士射鹿豕，爲田除害也。其祝曰：毋若不寧侯，不朝于王所，故伉而射汝也。𥎦，古文侯。 〔乎溝切〕 (110 / 105)
9,7,侲,9,僮子也。从人，辰聲。 〔章刃切〕 (168 / 165)
9,7,侳,9,安也。从人，坐聲。 〔則臥切〕 (164 / 162)
9,7,侵,9,漸進也。从人、又持帚，若埽之進。又，手也。 〔七林切〕 (165 / 162)
9,7,侶,9,徒侶也。从人，呂聲。 〔力舉切〕 (168 / 165)
9,7,侷,9,
9,7,侹,9,長皃。一曰：箸地。一曰：代也。从人，廷聲。 〔他鼎切〕 (163 / 160)
9,7,侺,9,
9,7,侻,9,
9,7,便,9,安也。人有不便，更之。从人、更。 〔房連切〕 (165 / 162)
9,7,俀,9,
9,7,俁,9,大也。从人，吳聲。《詩》曰：碩人俁俁。 〔魚禹切〕 (163 / 160)
9,7,係,9,絜束也。从人从系，系亦聲。 〔胡計切〕 (167 / 164)
9,7,促,9,迫也。从人，足聲。 〔七玉切〕 (167 / 164)
9,7,俄,9,行頃也。从人，我聲。《詩》曰：仄弁之俄。 〔五何切〕 (166 / 164)
9,7,俅,9,冠飾皃。从人，求聲。《詩》曰：弁服俅俅。 〔巨鳩切〕 (161 / 159)
9,7,俇,9,遠行也。从人，狂聲。 〔居況切〕 (168 / 165)
9,7,俉,9,
9,7,俊,9,材千人也。从人，夋聲。 〔子峻切〕 (162 / 159)
9,7,俋,9,
9,7,俍,9,
9,7,俎,9,禮俎也。从半肉在且上。 〔側呂切〕 (299 / 301)
9,7,俏,9,
9,7,俐,9,
9,7,俑,9,痛也。从人，甬聲。 〔他紅切，又余隴切〕 (167 / 164)
9,7,俓,9,
9,7,俔,9,譬諭也。一曰：閒見。从人从見。《詩》曰：俔天之妹。 〔苦甸切〕 (165 / 162)
9,7,俖,9,
9,7,俗,9,習也。从人，谷聲。 〔似足切〕 (165 / 163)
9,7,俘,9,軍所獲也。从人，孚聲。《春秋傳》曰：以爲俘聝。 〔芳無切〕 (167 / 164)
9,7,俙,9,訟面相是。从人，希聲。 〔喜皆切〕 (166 / 164)
9,7,俚,9,聊也。从人，里聲。 〔良止切〕 (163 / 160)
9,7,俛,9,低頭也。从頁，逃省。《太史卜書》頫仰字如此。揚雄曰：人面頫。俛，頫，或从人免。 【臣鉉等曰：頫首者，逃亡之皃，故从逃省。今俗作俯，非是。】 〔方矩切〕 (183 / 180)
9,7,俜,9,使也。从人，甹聲。 〔普丁切〕 (164 / 162)
9,7,保,9,養也。从人从𤓽省。𤓽，古文孚。呆，古文保。𠍂，古文保不省。 〔博袌切〕 (161 / 159)
9,7,俞,9,空中木爲舟也。从亼从舟从巜。巜，水也。 〔羊朱切〕 (176 / 173)
9,7,俟,9,大也。从人，矣聲。《詩》曰：伾伾俟俟。 〔牀史切〕 (162 / 160)
9,7,俠,9,俜也。从人，夾聲。 〔胡頰切〕 (164 / 162)
9,7,信,9,誠也。从人从言，會意。㐰，古文从言省。訫，古文信。 〔息晉切〕 (52 / 46)
9,7,俬,9,
9,8,修,10,飾也。从彡，攸聲。 〔息流切〕 (185 / 182)
9,8,俯,10,
9,8,俱,10,偕也。从人，具聲。 〔舉朱切〕 (164 / 161)
9,8,俳,10,戲也。从人，非聲。 〔步皆切〕 (166 / 164)
9,8,俴,10,淺也。从人，戔聲。 〔慈衍切〕 (166 / 163)
9,8,俵,10,
9,8,俶,10,善也。从人，叔聲。《詩》曰：令終有俶。一曰：始也。 〔昌六切〕 (163 / 161)
9,8,俷,10,
9,8,俸,10,
9,8,俺,10,大也。从人，奄聲。 〔於業切〕 (163 / 160)
9,8,俾,10,益也。从人，卑聲。一曰：俾門侍人。 〔并弭切〕 (165 / 163)
9,8,倀,10,狂也。从人，長聲。一曰：什也。 〔楮羊切〕 (166 / 163)
9,8,倅,10,副也。从人，卒聲。 〔七內切〕 (168 / 165)
9,8,倆,10,
9,8,倇,10,
9,8,倉,10,穀藏也。倉黃取而藏之，故謂之倉。从食省，囗象倉形。凡倉之屬皆从倉。仺，奇字倉。 〔七岡切〕 (109 / 104)
9,8,個,10,
9,8,倌,10,小臣也。从人从官。《詩》曰：命彼倌人。 〔古患切〕 (165 / 163)
9,8,倍,10,反也。从人，咅聲。 〔薄亥切〕 (166 / 163)
9,8,倎,10,
9,8,倏,10,走也。从犬，攸聲。讀若叔。 〔式竹切〕 (205 / 204)
9,8,們,10,
9,8,倒,10,仆也。从人，到聲。 〔當老切〕 (168 / 165)
9,8,倓,10,安也。从人，炎聲。讀若談。𠋴，倓或从剡。 〔徒甘切〕 (162 / 159)
9,8,倔,10,
9,8,倕,10,
9,8,倖,10,
9,8,倗,10,輔也。从人，朋聲。讀若陪位。 〔步崩切〕 (163 / 160)
9,8,倘,10,
9,8,候,10,伺望也。从人，矦聲。 〔胡遘切〕 (165 / 162)
9,8,倚,10,依也。从人，奇聲。 〔於綺切〕 (164 / 161)
9,8,倛,10,
9,8,倜,10,倜儻，不羈也。从人从周。未詳。 〔他歴切〕 (168 / 165)
9,8,倝,10,日始出，光倝倝也。从旦，㫃聲。凡倝之屬皆从倝。 〔古案切〕 (140 / 136)
9,8,倞,10,彊也。从人，京聲。 〔渠竟切〕 (163 / 160)
9,8,借,10,假也。从人，昔聲。 〔資昔切〕 (165 / 162)
9,8,倠,10,仳倠，醜面。从人，隹聲。 〔許惟切〕 (167 / 165)
9,8,倡,10,樂也。从人，昌聲。 〔尺亮切〕 (166 / 164)
9,8,倢,10,佽也。从人，疌聲。 〔子葉切〕 (164 / 161)
9,8,倣,10,
9,8,倥,10,
9,8,倦,10,罷也。从人，卷聲。 〔渠眷切〕 (167 / 165)
9,8,倧,10,
9,8,倨,10,不遜也。从人，居聲。 〔居御切〕 (163 / 160)
9,8,倩,10,人字。从人，青聲。東齊壻謂之倩。 〔倉見切〕 (162 / 159)
9,8,倪,10,俾也。从人，兒聲。 〔五雞切〕 (165 / 163)
9,8,倫,10,輩也。从人，侖聲。一曰：道也。 〔田屯切〕 (164 / 161)
9,8,倬,10,箸大也。从人，卓聲。《詩》曰：倬彼雲漢。 〔竹角切〕 (163 / 160)
9,8,倭,10,順皃。从人，委聲。《詩》曰：周道倭遲。 〔於爲切〕 (162 / 160)
9,8,倯,10,
9,8,倰,10,
9,8,倱,10,
9,8,倳,10,
9,8,倵,10,
9,8,倷,10,
9,8,值,10,措也。从人，直聲。 〔直吏切〕 (167 / 165)
9,9,偀,11,
9,9,偁,11,揚也。从人，爯聲。 〔處陵切〕 (164 / 162)
9,9,偃,11,僵也。从人，匽聲。 〔於幰切〕 (167 / 164)
9,9,偅,11,
